ㄱ,주소
계산공업고등학교,인천광역시 계양구 도두리로 47(계산동)
인천미래생활고등학교,인천광역시 부평구 수변로 165(부개동)
강남영상미디어고등학교,인천광역시 강화군 길상면 강화남로 57(길상면)
부평공업고등학교,인천광역시 부평구 주부토로 194(갈산동. 부평공업고등학교)
인천대중예술고등학교,인천광역시 미추홀구 석정로 165. 인천대중예술고등학교 (도화동)
인천소방고등학교,인천광역시 미추홀구 석정로 165(도화동)
인천기계공업고등학교,인천광역시 미추홀구 한나루로 545(주안동. 인천기계공업고등학교)
인천디자인고등학교,인천광역시 서구 대평로56번길 10. 인천디자인고등학교 (연희동)
인천전자마이스터고등학교,인천광역시 미추홀구 석정로 165(도화동)
인천정보과학고등학교,인천광역시 중구 참외전로 192(율목동)
인천바이오과학고등학교,인천광역시 연수구 용담로 12(청학동)
인천재능고등학교,인천광역시 동구 재능로 178. 인천재능고등학교 (송림동)
정석항공과학고등학교,인천광역시 미추홀구 인하로 100정석항공과학고등학교(용현동. 인하대.인하공전.정석항공고)
한국주얼리고등학교,인천광역시 서구 서곶로 693-1. 한국주얼리고등학교 (백석동)
인천비즈니스고등학교,인천광역시 미추홀구 장고개로 31(도화동. 인천비즈니스고등학교)
문학정보고등학교,인천광역시 미추홀구 소성로350번길 29(문학동. 문학정보고등학교)
영종국제물류고등학교,인천광역시 중구 운남서로10번길 1(운남동)
인천여자상업고등학교,인천광역시 중구 인중로 146(신생동)
인천보건고등학교,인천광역시 서구 서달로 58-16. 인천보건고등학교 (석남동)
인천금융고등학교,인천광역시 남동구 함박뫼로 438-9인천금융고등학교(논현동)
인천세무고등학교,인천광역시 서구 청마로 52. 인천세무고등학교 (당하동)
영화국제관광고등학교,인천광역시 동구 우각로 39(창영동)
인천중앙여자상업고등학교,인천광역시 중구 샛골로 31(도원동)
인천해양과학고등학교,인천광역시 연수구 능허대로 71(옥련동. 인천해양과학고등학교)
인천해사고등학교,인천광역시 중구 월미로 338(북성동1가)
한국글로벌셰프고등학교,인천광역시 강화군 내가면 강화서로 184(내가면. 삼량중고등학교)
인천생활과학고등학교,인천광역시 연수구 함박뫼로 103. 인천생활과학고 (연수동)
인천뷰티예술고등학교,인천광역시 연수구 원인재로 21. 인천뷰티예술고등학교 (동춘동)
인천청담고등학교,인천광역시 연수구 앵고개로 132(동춘동)
인천여자고등학교 부설 방송통신고등학교,인천광역시 연수구 비류대로506번길 14
제물포고등학교 부설 방송통신고등학교,인천광역시 중구 자유공원로 58-9
